prefixes	len	meaning	examples
pro	3	anterior, before, earlier than, in front of, precursory, prior to, projecting, rudimentary; championing, favoring, substituting for, supporting	pro-communist, pro-democracy, proceed, prowar, promote
proto	5	beginning, first, giving rise to, primary	
pseud	5	false, spurious, substitute, temporary, related, resembling	
pseudo	6	false, spurious, substitute, temporary, related, resembling	
quad	4	four	quadruple
re	2	again, anew, back, backward	reconsider, redo, rewrite, retell, recall, recede, reuse
retro	5	backward	retrograde, retroactive
se	2	apart	secede, seclude
semi	4	half in quantity or time, or halfway through, incomplete or incompletely, partly, similar to	semicircle, semi-retired, semiconductor
sub	3	almost, below, beneath, nearly, secondary, somewhat, subordinate, under,	submarine, sub-Saharan, subway, subliminal, subfloor
super	5	above, exceeding, extra, higher, more than, on, over and above, superior, surpassing, transcending	super-hero, supermodel
supero	6	above, exceeding, extra, higher, more than, on, over and above, superior, surpassing, transcending	
supra	5	above, exceeding, extra, higher, more than, on, over and above, superior, surpassing, transcending	
sym	3	at the same time, the same, together, united, with or along with	
syn	3	at the same time, the same, together, united, with or along with	
tel	3	distant; completion, end	
tele	4	distant; completion, end	television, telepathic
telo	4	distant; completion, end	
therm	5	heat, thermoelectric	
thermo	6	heat, thermoelectric	
trans	5	across, beyond, changed, through, transferred	transatlantic, transfer
tri	3	into thirds, every third, three, thrice	
tripl	5	into thirds, every third, three, thrice	
tripla	6	into thirds, every third, three, thrice	
tripli	6	into thirds, every third, three, thrice	
triplo	6	into thirds, every third, three, thrice	
ultra	5	beyond, transcending	ultra-compact, ultrasound
un	2	contrary to, not, opposite of; deprive of, release, remove, reverse	undo, unpack, unhappy
under	5	below, beneath, facing downward, lower, short of, subjected, subordinate	undercook, underestimate
uni	3	one, single	
up	2	make or move higher	upgrade, uphill
